number,mean_gap,median_gap,mean_freq_5,mean_freq_20,mean_freq_100,hit_rate,appearances,difference_from_random,difference_percent
35,8.325104519211626,6.0,0.5952617957395978,2.375273740792355,11.767469639657575,0.11905235914791958,598,-0.003396620443917156,-2.7739066958656777
36,8.109610802223987,6.0,0.6173550436854647,2.4622716441620334,12.23173153296267,0.1233121525019857,621,0.0008631729101489655,0.7049245432883218
37,7.930061593483012,6.0,0.6199086032187562,2.4746671965030798,12.204450625869264,0.12378303198887343,623,0.0013340523970366974,1.0894761242466362
38,8.109409190371991,6.0,0.6252237915257609,2.4991048338969564,12.44877660632584,0.12492540282474637,628,0.0024764232329096414,2.022412306876207
39,8.102701628923322,6.0,0.6042908224076281,2.410409217322209,11.907230830353596,0.12077870480731029,608,-0.0016702747845264432,-1.3640577406965952
40,7.720485765478798,6.0,0.6082022695600239,2.4320127413896078,12.080828190324507,0.12144136969938284,610,-0.001007609892453895,-0.822881412170681
41,7.9571258435887255,6.0,0.6232631996824136,2.4900754267566496,12.365819769749901,0.12445414847161572,627,0.0020051688797789874,1.63755458515284
42,8.801113762927605,6.0,0.6215194908512331,2.4785202863961815,12.307875894988067,0.12410501193317422,624,0.0016560323413374878,1.3524264120922818
43,7.807447232178415,5.0,0.6367980884109916,2.5416168857029073,12.594384707287933,0.12724014336917563,639,0.004791163777338903,3.9127837514934374
44,8.452830188679245,6.0,0.608540218470705,2.4284011916583914,12.019463753723933,0.12154915590863952,612,-0.0008998236831972151,-0.7348560079443923
45,9.594459944200876,7.0,0.5482263850139498,2.190713431646074,10.916102032682344,0.10960542048624951,550,-0.012843559105587224,-10.488906602896234
46,8.862055257404094,6.0,0.5843768634466309,2.3375074537865235,11.610415424368913,0.11667660504869808,587,-0.005772374543138656,-4.714105876896569
47,7.980914512922465,6.0,0.6043737574552683,2.414314115308151,11.992842942345925,0.12087475149105367,608,-0.0015742281007830594,-1.2856196156394986
48,8.244121163810282,6.0,0.6207652451175767,2.477281785571941,12.25787166201674,0.12395376644081307,622,0.0015047868489763416,1.2289092599973457
49,7.732380385149891,5.0,0.6589239626761961,2.62636489974191,13.01488981536629,0.13162596783799882,663,0.009176988246162088,7.494540401032372
